project_id,bug_id,sloc,sloc_total
ToyExample,1,10,100
Chart,1,13269,96382
Chart,2,2515,96344
Chart,3,1571,96317
Chart,4,46751,94583
Chart,5,524,89343
Chart,6,1088,84679
Chart,7,939,84476
Chart,8,381,84473
Chart,9,1930,84467
Chart,10,141,84482
Chart,11,302,84457
Chart,12,8946,84459
Chart,13,1723,84358
Chart,14,11601,84374
Chart,15,23139,84129
Chart,16,656,84129
Chart,17,2173,83762
Chart,18,749,83754
Chart,19,8467,83351
Chart,20,969,80508
Chart,21,1186,80336
Chart,22,420,80307
Chart,23,8560,80038
Chart,24,65,79949
Chart,25,21450,79811
Chart,26,39569,78564
Chart,200154,2529,96358
Chart,200157,2529,96358
Chart,200158,2529,96358
Chart,200159,2528,96357
Chart,200160,2528,96357
Chart,200164,2528,96357
Chart,200167,2528,96357
Chart,200320,2529,96358
Chart,200323,2529,96358
Chart,200324,2529,96358
Chart,200325,2528,96357
Chart,200326,2528,96357
Chart,200330,2528,96357
Chart,300265,1572,96318
Chart,300266,1572,96318
Chart,400483,46753,94585
Chart,500080,528,89347
Chart,500081,528,89347
Chart,500082,527,89346
Chart,500084,528,89347
Chart,500085,528,89347
Chart,500086,528,89347
Chart,500087,528,89347
Chart,500088,528,89347
Chart,600004,1095,84686
Chart,600005,1095,84686
Chart,600006,1095,84686
Chart,600007,1095,84686
Chart,600008,1095,84686
Chart,600009,1095,84686
Chart,600010,1095,84686
Chart,900243,1930,84467
Chart,900244,1930,84467
Chart,900245,1930,84467
Chart,900246,1930,84467
Chart,900247,1930,84467
Chart,900248,1930,84467
Chart,900249,1930,84467
Chart,900250,1930,84467
Chart,900251,1930,84467
Chart,1100044,302,84457
Chart,1200001,8945,84458
Chart,1300227,1723,84358
Chart,1300228,1723,84358
Chart,1300229,1723,84358
Chart,1300230,1723,84358
Chart,1400231,11613,84386
Chart,1400232,11613,84386
Chart,1400264,11613,84386
Chart,1400265,11613,84386
Chart,1400751,11613,84386
Chart,1400752,11613,84386
Chart,1400778,11613,84386
Chart,1400779,11613,84386
Chart,1500082,23144,84134
Chart,1500110,23144,84134
Chart,1600017,656,84129
Chart,1600018,656,84129
Chart,1600019,655,84128
Chart,1600020,656,84129
Chart,1600021,656,84129
Chart,1600022,655,84128
Chart,1600044,656,84129
Chart,1700178,2174,83763
Chart,1700179,2173,83762
Chart,1800107,757,83762
Chart,1800108,757,83762
Chart,1800111,757,83762
Chart,1800112,757,83762
Chart,1800113,757,83762
Chart,1800202,756,83761
Chart,1900077,8473,83357
Chart,1900112,8473,83357
Chart,2100062,1225,80375
Chart,2100063,1225,80375
Chart,2100064,1225,80375
Chart,2100065,1225,80375
Chart,2100066,1225,80375
Chart,2100067,1225,80375
Chart,2100068,1225,80375
Chart,2100069,1225,80375
Chart,2100070,1225,80375
Chart,2100071,1225,80375
Chart,2100072,1225,80375
Chart,2100073,1225,80375
Chart,2100074,1225,80375
Chart,2100075,1224,80374
Chart,2100076,1224,80374
Chart,2100077,1224,80374
Chart,2100078,1224,80374
Chart,2100079,1224,80374
Chart,2100080,1225,80375
Chart,2100081,1225,80375
Chart,2100082,1225,80375
Chart,2100083,1225,80375
Chart,2100084,1224,80374
Chart,2100085,1224,80374
Chart,2100086,1224,80374
Chart,2200034,449,80336
Chart,2200035,449,80336
Chart,2200036,449,80336
Chart,2200037,449,80336
Chart,2200038,449,80336
Chart,2200039,449,80336
Chart,2200040,449,80336
Chart,2200068,449,80336
Chart,2200069,449,80336
Chart,2200070,449,80336
Chart,2200071,449,80336
Chart,2200072,449,80336
Chart,2200073,449,80336
Chart,2200074,449,80336
Chart,2200075,449,80336
Chart,2200076,449,80336
Chart,2200077,449,80336
Chart,2200078,449,80336
Chart,2200079,449,80336
Chart,2200080,449,80336
Chart,2200081,449,80336
Chart,2200082,448,80335
Chart,2200086,449,80336
Chart,2200087,449,80336
Chart,2200088,449,80336
Chart,2200100,449,80336
Chart,2200101,449,80336
Chart,2200102,449,80336
Chart,2300009,8579,80057
Chart,2300010,8579,80057
Chart,2300011,8579,80057
Chart,2300012,8579,80057
Chart,2300013,8579,80057
Chart,2300014,8579,80057
Chart,2300015,8579,80057
Chart,2300016,8579,80057
Chart,2300017,8579,80057
Chart,2300018,8579,80057
Chart,2300019,8579,80057
Chart,2300020,8579,80057
Chart,2400011,65,79949
Chart,2400012,65,79949
Chart,2400013,65,79949
Chart,2400014,64,79948
Chart,2400015,64,79948
Chart,2400016,64,79948
Chart,2400017,64,79948
Chart,2400018,64,79948
Chart,2400019,64,79948
Chart,2400020,65,79949
Chart,2400021,65,79949
Chart,2400022,64,79948
Chart,2400023,64,79948
Chart,2400024,64,79948
Chart,2400025,64,79948
Chart,2500004,21462,79823
Chart,2500005,21461,79822
Chart,2500007,21462,79823
Chart,2500011,21462,79823
Chart,2500012,21461,79822
Chart,2500014,21462,79823
Chart,2600120,39571,78566
Closure,1,59378,90694
Closure,2,37755,90533
Closure,3,41503,90710
Closure,4,38802,90680
Closure,5,35461,90266
Closure,6,38613,90236
Closure,7,30924,89900
Closure,8,33747,89305
Closure,9,9240,89287
Closure,10,34941,89328
Closure,11,37400,88924
Closure,12,40682,88597
Closure,13,53195,88553
Closure,14,40408,88484
Closure,15,39790,88463
Closure,16,44511,88489
Closure,17,37063,88484
Closure,18,39905,88485
Closure,19,36753,88484
Closure,20,35334,88394
Closure,21,34827,88411
Closure,22,34833,88417
Closure,23,34620,88019
Closure,24,31860,87789
Closure,25,36341,87754
Closure,26,54545,87749
Closure,27,2244,87676
Closure,28,36747,87671
Closure,29,59348,87658
Closure,30,39203,86826
Closure,31,38143,86801
Closure,32,39026,86789
Closure,33,36594,86739
Closure,34,7159,86658
Closure,35,36506,85966
Closure,36,57251,85937
Closure,37,37963,85831
Closure,38,27490,85614
Closure,39,7094,85474
Closure,40,40616,85469
Closure,41,35814,85348
Closure,42,8755,85334
Closure,43,35786,85315
Closure,44,26591,84183
Closure,45,33071,84148
Closure,46,7483,84463
Closure,47,36716,84035
Closure,48,34236,83915
Closure,49,37637,91671
Closure,50,32225,91389
Closure,51,26522,91281
Closure,52,26522,91033
Closure,53,32804,90345
Closure,54,39088,89766
Closure,55,36066,89488
Closure,56,24133,89342
Closure,57,24885,89235
Closure,58,29846,89118
Closure,59,52583,87932
Closure,60,56685,87372
Closure,61,30734,87202
Closure,62,385,87210
Closure,63,385,87208
Closure,64,48258,86607
Closure,65,25332,86563
Closure,66,33378,86475
Closure,67,30647,86457
Closure,68,11295,86441
Closure,69,33766,86467
Closure,70,34453,85977
Closure,71,33914,83285
Closure,72,33313,82822
Closure,73,24643,81657
Closure,74,30636,81065
Closure,75,29831,80757
Closure,76,29997,79481
Closure,77,24473,79435
Closure,78,29547,79436
Closure,79,29807,79019
Closure,80,22636,78978
Closure,81,9280,78637
Closure,82,31494,77820
Closure,83,42977,77330
Closure,84,9264,77074
Closure,85,27664,76886
Closure,86,35464,76371
Closure,87,26926,76268
Closure,88,44525,76235
Closure,89,32300,75435
Closure,90,31191,75355
Closure,91,28267,75266
Closure,92,25235,75185
Closure,93,25200,75109
Closure,94,27526,74961
Closure,95,33615,70971
Closure,96,30282,70754
Closure,97,24984,67710
Closure,98,28194,66413
Closure,99,24855,66401
Closure,100,24820,66193
Closure,101,47088,63086
Closure,102,46451,62535
Closure,103,33675,62524
Closure,104,6027,62524
Closure,105,24954,61682
Closure,106,24467,59026
Closure,107,66899,104412
Closure,108,42704,104401
Closure,109,12833,104015
Closure,110,42465,103148
Closure,111,34018,95423
Closure,112,40959,94947
Closure,113,36211,94942
Closure,114,40490,94942
Closure,115,41409,94940
Closure,116,45955,94925
Closure,117,40861,94845
Closure,118,46288,94844
Closure,119,41552,94843
Closure,120,38748,94781
Closure,121,38762,94795
Closure,122,10643,94660
Closure,123,31161,94377
Closure,124,36932,94120
Closure,125,39758,93409
Closure,126,34653,91633
Closure,127,35464,91624
Closure,128,29128,91352
Closure,129,55133,91349
Closure,130,40579,91269
Closure,131,34559,91267
Closure,132,35723,91207
Closure,133,12238,91167
Closure,100127,59381,90697
Closure,100128,59381,90697
Closure,100129,59380,90696
Closure,200620,37759,90537
Closure,200621,37759,90537
Closure,300031,41509,90716
Closure,300032,41509,90716
Closure,300112,41509,90716
Closure,300113,41508,90715
Closure,300114,41508,90715
Closure,300115,41509,90716
Closure,400024,38802,90680
Closure,400025,38802,90680
Closure,400032,38802,90680
Closure,500041,35464,90269
Closure,500042,35464,90269
Closure,500043,35464,90269
Closure,600101,38605,90228
Closure,600105,38604,90227
Closure,600106,38605,90228
Closure,700063,30928,89904
Closure,700064,30928,89904
Closure,700065,30928,89904
Closure,700066,30928,89904
Closure,800061,33751,89309
Closure,800062,33751,89309
Closure,800063,33750,89308
Closure,800064,33750,89308
Closure,800065,33750,89308
Closure,800066,33749,89307
Closure,800067,33749,89307
Closure,800068,33749,89307
Closure,800069,33749,89307
Closure,800070,33748,89306
Closure,800071,33748,89306
Closure,800072,33748,89306
Closure,800073,33751,89309
Closure,900013,9240,89287
Closure,900057,9241,89288
Closure,1000477,34941,89328
Closure,1100637,37397,88921
Closure,1100638,37397,88921
Closure,1200020,40688,88603
Closure,1200021,40688,88603
Closure,1200022,40688,88603
Closure,1300036,53195,88553
Closure,1300038,53194,88552
Closure,1400295,40407,88483
Closure,1500007,39793,88466
Closure,1500008,39793,88466
Closure,1500009,39793,88466
Closure,1600036,44517,88495
Closure,1600038,44517,88495
Closure,1600039,44517,88495
Closure,1600040,44516,88494
Closure,1600207,44516,88494
Closure,1700518,37067,88488
Closure,1700519,37067,88488
Closure,1700520,37067,88488
Closure,1700521,37067,88488
Closure,1700522,37067,88488
Closure,1700523,37067,88488
Closure,1700524,37066,88487
Closure,1700525,37066,88487
Closure,1700526,37066,88487
Closure,1800259,39905,88485
Closure,1800260,39905,88485
Closure,1900023,36754,88485
Closure,2000081,35335,88395
Closure,2000082,35335,88395
Closure,2000083,35335,88395
Closure,2000084,35334,88394
Closure,2000085,35334,88394
Closure,2000086,35334,88394
Closure,2100013,34810,88394
Closure,2100014,34810,88394
Closure,2100015,34810,88394
Closure,2100024,34810,88394
Closure,2100025,34810,88394
Closure,2100026,34810,88394
Closure,2100027,34810,88394
Closure,2100028,34809,88393
Closure,2100029,34809,88393
Closure,2100030,34809,88393
Closure,2100031,34809,88393
Closure,2200013,34809,88393
Closure,2200014,34809,88393
Closure,2200015,34809,88393
Closure,2200017,34809,88393
Closure,2200018,34809,88393
Closure,2200019,34809,88393
Closure,2200020,34809,88393
Closure,2300757,34626,88025
Closure,2300758,34626,88025
Closure,2300759,34626,88025
Closure,2300760,34626,88025
Closure,2300761,34626,88025
Closure,2300762,34626,88025
Closure,2300763,34626,88025
Closure,2400078,31860,87789
Closure,2400079,31860,87789
Closure,2400080,31860,87789
Closure,2400081,31860,87789
Closure,2400082,31860,87789
Closure,2400083,31860,87789
Closure,2400089,31861,87790
Closure,2400090,31861,87790
Closure,2400091,31861,87790
Closure,2400092,31861,87790
Closure,2500549,36338,87751
Closure,2500551,36339,87752
Closure,2500569,36338,87751
Closure,2500571,36339,87752
Closure,2600021,54550,87754
Closure,2600068,54550,87754
Closure,2600069,54550,87754
Closure,2600070,54549,87753
Closure,2600078,54549,87753
Closure,2700016,2247,87679
Closure,2700033,2247,87679
Closure,2800025,36750,87674
Closure,2900028,59358,87668
Closure,2900041,59358,87668
Closure,2900042,59358,87668
Closure,2900043,59358,87668
Closure,2900044,59358,87668
Closure,2900045,59358,87668
Closure,2900046,59357,87667
Closure,2900047,59358,87668
Closure,2900060,59357,87667
Closure,3000004,39211,86834
Closure,3000098,39211,86834
Closure,3000099,39211,86834
Closure,3000101,39211,86834
Closure,3000102,39211,86834
Closure,3000103,39210,86833
Closure,3000114,39211,86834
Closure,3000115,39211,86834
Closure,3000116,39211,86834
Closure,3000143,39210,86833
Closure,3100236,38141,86799
Closure,3100237,38141,86799
Closure,3200565,39038,86801
Closure,3200566,39038,86801
Closure,3200568,39038,86801
Closure,3200569,39038,86801
Closure,3200570,39038,86801
Closure,3200571,39038,86801
Closure,3200572,39038,86801
Closure,3200573,39038,86801
Closure,3200574,39037,86800
Closure,3200581,39038,86801
Closure,3200582,39038,86801
Closure,3200583,39037,86800
Closure,3200589,39038,86801
Closure,3200590,39038,86801
Closure,3200591,39038,86801
Closure,3200592,39038,86801
Closure,3200593,39038,86801
Closure,3200594,39038,86801
Closure,3200595,39038,86801
Closure,3200596,39038,86801
Closure,3200597,39038,86801
Closure,3200598,39038,86801
Closure,3200599,39038,86801
Closure,3200600,39038,86801
Closure,3200601,39038,86801
Closure,3200602,39038,86801
Closure,3200603,39038,86801
Closure,3200604,39037,86800
Closure,3200605,39038,86801
Closure,3200606,39038,86801
Closure,3200607,39037,86800
Closure,3200635,39037,86800
Closure,3300231,36597,86742
Closure,3300232,36597,86742
Closure,3300233,36596,86741
Closure,3400052,7157,86656
Closure,3400053,7157,86656
Closure,3400054,7157,86656
Closure,3400055,7157,86656
Closure,3400056,7157,86656
Closure,3400057,7157,86656
Closure,3400058,7156,86655
Closure,3400601,7157,86656
Closure,3400602,7156,86655
Closure,3401068,7157,86656
Closure,3401069,7157,86656
Closure,3401070,7157,86656
Closure,3401071,7157,86656
Closure,3401072,7157,86656
Closure,3401073,7157,86656
Closure,3401074,7157,86656
Closure,3500574,36493,85953
Closure,3500575,36492,85952
Closure,3600284,57254,85940
Closure,3600285,57254,85940
Closure,3700114,37967,85835
Closure,3700115,37966,85834
