=================================================
Project : closure_36	start : 18/01/13 00:06
Current failed test : com.google.javascript.jscomp.IntegrationTest::testSingletonGetter1 | 18/01/13 00:06
Sat Jan 13 00:06:54 AEDT 2018 Sat Jan 13 00:06:54 AEDT 2018 : com.google.javascript.rhino.Node,117=>Find no block
Sat Jan 13 00:06:55 AEDT 2018 com.google.javascript.rhino.Node,125
Sat Jan 13 00:07:04 AEDT 2018 com.google.javascript.rhino.Node,129
Sat Jan 13 00:07:13 AEDT 2018 com.google.javascript.rhino.Node,131
Sat Jan 13 00:07:22 AEDT 2018 com.google.javascript.rhino.Node,132
Sat Jan 13 00:07:31 AEDT 2018 com.google.javascript.rhino.Node,141
Sat Jan 13 00:07:41 AEDT 2018 com.google.javascript.rhino.Node,142
Sat Jan 13 00:07:50 AEDT 2018 com.google.javascript.rhino.Node,143
Sat Jan 13 00:08:00 AEDT 2018 com.google.javascript.rhino.Node,866
Sat Jan 13 00:29:01 AEDT 2018 com.google.javascript.rhino.Node,867
Sat Jan 13 00:29:02 AEDT 2018 com.google.javascript.rhino.Node,868
Sat Jan 13 00:29:02 AEDT 2018 com.google.javascript.rhino.Node,871
Sat Jan 13 00:29:03 AEDT 2018 com.google.javascript.rhino.Node,872
Sat Jan 13 00:29:04 AEDT 2018 com.google.javascript.rhino.Node,873
Sat Jan 13 00:29:05 AEDT 2018 com.google.javascript.rhino.Node,874
Sat Jan 13 00:29:06 AEDT 2018 com.google.javascript.rhino.Node,877
Sat Jan 13 00:29:07 AEDT 2018 com.google.javascript.rhino.Node,878
Sat Jan 13 00:29:07 AEDT 2018 com.google.javascript.rhino.Node,923
Sat Jan 13 00:29:12 AEDT 2018 com.google.javascript.rhino.Node,945
Sat Jan 13 01:43:38 AEDT 2018 com.google.javascript.rhino.Node,949
Sat Jan 13 01:43:39 AEDT 2018 com.google.javascript.rhino.Node,952
Sat Jan 13 01:43:40 AEDT 2018 com.google.javascript.rhino.Node,959
Sat Jan 13 01:52:37 AEDT 2018 com.google.javascript.rhino.Node,960
Sat Jan 13 01:52:38 AEDT 2018 com.google.javascript.rhino.Node,961
Sat Jan 13 01:52:39 AEDT 2018 com.google.javascript.rhino.Node,962
Sat Jan 13 01:52:40 AEDT 2018 com.google.javascript.rhino.Node,967
Sat Jan 13 01:53:30 AEDT 2018 com.google.javascript.rhino.Node,968
Sat Jan 13 02:13:32 AEDT 2018 com.google.javascript.rhino.Node,969
Sat Jan 13 02:33:05 AEDT 2018 com.google.javascript.rhino.Node,970
Sat Jan 13 02:33:05 AEDT 2018 com.google.javascript.rhino.Node,971
Sat Jan 13 02:45:05 AEDT 2018 com.google.javascript.rhino.Node,972
Sat Jan 13 02:54:41 AEDT 2018 com.google.javascript.rhino.Node,973
Sat Jan 13 03:07:42 AEDT 2018 Sat Jan 13 03:07:42 AEDT 2018 : com.google.javascript.rhino.Node,975=>Find no block
Sat Jan 13 03:07:43 AEDT 2018 com.google.javascript.rhino.Node,977
Sat Jan 13 03:07:44 AEDT 2018 com.google.javascript.rhino.Node,980
Sat Jan 13 03:13:51 AEDT 2018 com.google.javascript.rhino.Node,981
Sat Jan 13 03:13:52 AEDT 2018 com.google.javascript.rhino.Node,986
Sat Jan 13 03:18:44 AEDT 2018 com.google.javascript.rhino.Node,998
Sat Jan 13 03:18:48 AEDT 2018 com.google.javascript.rhino.Node,1003
Sat Jan 13 03:18:54 AEDT 2018 com.google.javascript.rhino.Node,1004
Sat Jan 13 03:18:55 AEDT 2018 com.google.javascript.rhino.Node,1005
Sat Jan 13 03:18:56 AEDT 2018 com.google.javascript.rhino.Node,1012
Sat Jan 13 03:19:00 AEDT 2018 Sat Jan 13 03:19:00 AEDT 2018 : com.google.javascript.rhino.Node,1013=>Find no block
Sat Jan 13 03:19:01 AEDT 2018 com.google.javascript.rhino.Node,1017
Sat Jan 13 03:28:44 AEDT 2018 com.google.javascript.rhino.Node,1018
Sat Jan 13 03:28:45 AEDT 2018 com.google.javascript.rhino.Node,1020
Sat Jan 13 04:10:32 AEDT 2018 com.google.javascript.rhino.Node,1021
Sat Jan 13 04:10:32 AEDT 2018 Sat Jan 13 04:10:32 AEDT 2018 : com.google.javascript.rhino.Node,1022=>Find no block
Sat Jan 13 04:10:33 AEDT 2018 com.google.javascript.rhino.Node,1023
Sat Jan 13 04:10:34 AEDT 2018 com.google.javascript.rhino.Node,1025
Sat Jan 13 04:10:35 AEDT 2018 Sat Jan 13 04:10:35 AEDT 2018 : com.google.javascript.rhino.Node,1024=>Find no block
Sat Jan 13 04:10:36 AEDT 2018 Sat Jan 13 04:10:36 AEDT 2018 : com.google.javascript.rhino.Node,1027=>Find no block
Sat Jan 13 04:10:36 AEDT 2018 com.google.javascript.rhino.Node,1417
Sat Jan 13 04:10:45 AEDT 2018 com.google.javascript.rhino.Node,1433
Sat Jan 13 04:11:40 AEDT 2018 com.google.javascript.rhino.Node,1446
Sat Jan 13 04:11:55 AEDT 2018 com.google.javascript.jscomp.InlineFunctions,124
Sat Jan 13 04:13:08 AEDT 2018 com.google.javascript.jscomp.InlineFunctions,278
Sat Jan 13 04:18:27 AEDT 2018 com.google.javascript.jscomp.InlineFunctions,279
Sat Jan 13 04:18:28 AEDT 2018 com.google.javascript.jscomp.InlineFunctions,288
