=================================================
Project : math_60	start : 18/01/14 08:20
Current failed test : org.apache.commons.math.distribution.NormalDistributionTest::testExtremeValues | 18/01/14 08:21
Sun Jan 14 08:21:17 AEDT 2018 Sun Jan 14 08:21:17 AEDT 2018 : org.apache.commons.math.MathException,84=>Find no block
Sun Jan 14 08:21:21 AEDT 2018 org.apache.commons.math.MathException,85
Sun Jan 14 08:21:35 AEDT 2018 org.apache.commons.math.MathException,86
Sun Jan 14 08:21:36 AEDT 2018 Sun Jan 14 08:21:36 AEDT 2018 : org.apache.commons.math.MathException,87=>Find no block
Sun Jan 14 08:21:39 AEDT 2018 org.apache.commons.math.MathException,168
Sun Jan 14 08:21:56 AEDT 2018 org.apache.commons.math.MathException,169
Sun Jan 14 08:21:57 AEDT 2018 org.apache.commons.math.MathException,177
Sun Jan 14 08:22:07 AEDT 2018 org.apache.commons.math.MathException,183
Sun Jan 14 08:22:17 AEDT 2018 org.apache.commons.math.ConvergenceException,62
Sun Jan 14 08:22:42 AEDT 2018 Sun Jan 14 08:22:42 AEDT 2018 : org.apache.commons.math.ConvergenceException,63=>Find no block
Sun Jan 14 08:22:44 AEDT 2018 Sun Jan 14 08:22:44 AEDT 2018 : org.apache.commons.math.util.FastMath,653=>Find no block
Sun Jan 14 08:22:45 AEDT 2018 Sun Jan 14 08:22:45 AEDT 2018 : org.apache.commons.math.util.FastMath,654=>Find no block
Sun Jan 14 08:22:47 AEDT 2018 Sun Jan 14 08:22:47 AEDT 2018 : org.apache.commons.math.util.FastMath,658=>Find no block
Sun Jan 14 08:22:49 AEDT 2018 Sun Jan 14 08:22:49 AEDT 2018 : org.apache.commons.math.util.ContinuedFraction,163=>Find no block
Sun Jan 14 08:22:51 AEDT 2018 Sun Jan 14 08:22:51 AEDT 2018 : org.apache.commons.math.util.ContinuedFraction,164=>Find no block
Sun Jan 14 08:22:53 AEDT 2018 Sun Jan 14 08:22:53 AEDT 2018 : org.apache.commons.math.util.ContinuedFraction,186=>Find no block
Sun Jan 14 08:22:55 AEDT 2018 Sun Jan 14 08:22:55 AEDT 2018 : org.apache.commons.math.util.ContinuedFraction,149=>Find no block
Sun Jan 14 08:22:56 AEDT 2018 Sun Jan 14 08:22:56 AEDT 2018 : org.apache.commons.math.util.ContinuedFraction,150=>Find no block
Sun Jan 14 08:22:58 AEDT 2018 Sun Jan 14 08:22:58 AEDT 2018 : org.apache.commons.math.util.ContinuedFraction,151=>Find no block
Sun Jan 14 08:22:59 AEDT 2018 Sun Jan 14 08:22:59 AEDT 2018 : org.apache.commons.math.util.ContinuedFraction,152=>Find no block
