=================================================
Project : math_105	start : 18/01/13 00:29
Current failed test : org.apache.commons.math.stat.regression.SimpleRegressionTest::testSSENonNegative | 18/01/13 00:29
Sat Jan 13 00:43:00 AEDT 2018 org.apache.commons.math.stat.regression.SimpleRegression,89
Sat Jan 13 00:43:01 AEDT 2018 Sat Jan 13 00:43:01 AEDT 2018 : org.apache.commons.math.stat.regression.SimpleRegression,60=>Find no block
Sat Jan 13 00:43:01 AEDT 2018 Sat Jan 13 00:43:01 AEDT 2018 : org.apache.commons.math.stat.regression.SimpleRegression,63=>Find no block
Sat Jan 13 00:43:02 AEDT 2018 Sat Jan 13 00:43:02 AEDT 2018 : org.apache.commons.math.stat.regression.SimpleRegression,66=>Find no block
Sat Jan 13 00:43:02 AEDT 2018 Sat Jan 13 00:43:02 AEDT 2018 : org.apache.commons.math.stat.regression.SimpleRegression,69=>Find no block
Sat Jan 13 00:43:02 AEDT 2018 Sat Jan 13 00:43:02 AEDT 2018 : org.apache.commons.math.stat.regression.SimpleRegression,72=>Find no block
Sat Jan 13 00:43:03 AEDT 2018 Sat Jan 13 00:43:03 AEDT 2018 : org.apache.commons.math.stat.regression.SimpleRegression,75=>Find no block
Sat Jan 13 00:43:03 AEDT 2018 Sat Jan 13 00:43:03 AEDT 2018 : org.apache.commons.math.stat.regression.SimpleRegression,78=>Find no block
Sat Jan 13 00:43:03 AEDT 2018 Sat Jan 13 00:43:03 AEDT 2018 : org.apache.commons.math.stat.regression.SimpleRegression,81=>Find no block
Sat Jan 13 00:43:04 AEDT 2018 Sat Jan 13 00:43:04 AEDT 2018 : org.apache.commons.math.stat.regression.SimpleRegression,90=>Find no block
Sat Jan 13 00:43:04 AEDT 2018 org.apache.commons.math.stat.regression.SimpleRegression,106
Timeout time : 18/01/13 05:43
