=================================================
Project : math_27	start : 18/01/12 19:07
Current failed test : org.apache.commons.math3.fraction.FractionTest::testMath835 | 18/01/12 19:07
Fri Jan 12 19:08:51 AEDT 2018 org.apache.commons.math3.fraction.Fraction,597
Fri Jan 12 19:09:13 AEDT 2018 org.apache.commons.math3.fraction.Fraction,555
Fri Jan 12 19:10:36 AEDT 2018 org.apache.commons.math3.fraction.Fraction,319
Fri Jan 12 19:10:43 AEDT 2018 org.apache.commons.math3.util.ArithmeticUtils,430
Fri Jan 12 19:25:30 AEDT 2018 org.apache.commons.math3.util.ArithmeticUtils,426
Fri Jan 12 19:26:43 AEDT 2018 org.apache.commons.math3.util.ArithmeticUtils,400
Fri Jan 12 19:27:06 AEDT 2018 org.apache.commons.math3.util.ArithmeticUtils,399
Fri Jan 12 19:27:07 AEDT 2018 org.apache.commons.math3.util.ArithmeticUtils,402
Fri Jan 12 19:28:59 AEDT 2018 org.apache.commons.math3.util.ArithmeticUtils,403
Fri Jan 12 19:29:01 AEDT 2018 org.apache.commons.math3.util.ArithmeticUtils,406
Fri Jan 12 20:18:24 AEDT 2018 org.apache.commons.math3.util.ArithmeticUtils,407
Fri Jan 12 20:18:25 AEDT 2018 org.apache.commons.math3.util.ArithmeticUtils,413
Fri Jan 12 20:29:24 AEDT 2018 org.apache.commons.math3.util.ArithmeticUtils,419
Fri Jan 12 20:41:06 AEDT 2018 org.apache.commons.math3.util.ArithmeticUtils,425
Fri Jan 12 20:41:07 AEDT 2018 org.apache.commons.math3.util.ArithmeticUtils,429
Fri Jan 12 20:41:08 AEDT 2018 org.apache.commons.math3.util.ArithmeticUtils,435
Fri Jan 12 20:41:21 AEDT 2018 org.apache.commons.math3.util.ArithmeticUtils,438
Fri Jan 12 20:41:22 AEDT 2018 org.apache.commons.math3.util.ArithmeticUtils,439
Fri Jan 12 20:46:51 AEDT 2018 org.apache.commons.math3.util.ArithmeticUtils,385
Fri Jan 12 21:26:58 AEDT 2018 org.apache.commons.math3.util.ArithmeticUtils,386
Fri Jan 12 21:26:59 AEDT 2018 org.apache.commons.math3.util.ArithmeticUtils,387
