=================================================
Project : math_11	start : 18/01/15 19:33
Current failed test : org.apache.commons.math3.distribution.MultivariateNormalDistributionTest::testUnivariateDistribution | 18/01/15 19:35
Mon Jan 15 19:37:04 AEDT 2018 org.apache.commons.math3.util.FastMath,1614
Mon Jan 15 19:42:26 AEDT 2018 Mon Jan 15 19:42:26 AEDT 2018 : org.apache.commons.math3.distribution.AbstractRealDistribution,50=>Find no block
Mon Jan 15 19:42:38 AEDT 2018 Mon Jan 15 19:42:38 AEDT 2018 : org.apache.commons.math3.distribution.AbstractRealDistribution,60=>Find no block
Mon Jan 15 19:42:49 AEDT 2018 Mon Jan 15 19:42:49 AEDT 2018 : org.apache.commons.math3.distribution.AbstractRealDistribution,76=>Find no block
Mon Jan 15 19:43:00 AEDT 2018 org.apache.commons.math3.distribution.AbstractRealDistribution,77
Mon Jan 15 19:45:45 AEDT 2018 Mon Jan 15 19:45:45 AEDT 2018 : org.apache.commons.math3.distribution.AbstractRealDistribution,78=>Find no block
Mon Jan 15 19:45:54 AEDT 2018 org.apache.commons.math3.distribution.NormalDistribution,71
Mon Jan 15 19:47:30 AEDT 2018 Mon Jan 15 19:47:30 AEDT 2018 : org.apache.commons.math3.distribution.NormalDistribution,72=>Find no block
Mon Jan 15 19:47:40 AEDT 2018 org.apache.commons.math3.distribution.NormalDistribution,86
Mon Jan 15 19:48:17 AEDT 2018 Mon Jan 15 19:48:17 AEDT 2018 : org.apache.commons.math3.distribution.NormalDistribution,87=>Find no block
Mon Jan 15 19:48:24 AEDT 2018 org.apache.commons.math3.distribution.NormalDistribution,104
Mon Jan 15 19:57:32 AEDT 2018 org.apache.commons.math3.distribution.NormalDistribution,106
Mon Jan 15 19:57:33 AEDT 2018 org.apache.commons.math3.distribution.NormalDistribution,110
Mon Jan 15 19:57:35 AEDT 2018 org.apache.commons.math3.distribution.NormalDistribution,111
Mon Jan 15 19:57:37 AEDT 2018 org.apache.commons.math3.distribution.NormalDistribution,112
Mon Jan 15 19:57:39 AEDT 2018 Mon Jan 15 19:57:39 AEDT 2018 : org.apache.commons.math3.distribution.NormalDistribution,113=>Find no block
Mon Jan 15 19:57:41 AEDT 2018 org.apache.commons.math3.distribution.NormalDistribution,135
Mon Jan 15 20:19:35 AEDT 2018 org.apache.commons.math3.distribution.NormalDistribution,136
