=================================================
Project : math_60	start : 18/01/15 21:25
Current failed test : org.apache.commons.math.distribution.NormalDistributionTest::testExtremeValues | 18/01/15 21:25
Mon Jan 15 21:26:11 AEDT 2018 Mon Jan 15 21:26:11 AEDT 2018 : org.apache.commons.math.MathException,84=>Find no block
Mon Jan 15 21:26:12 AEDT 2018 org.apache.commons.math.MathException,85
Mon Jan 15 21:26:30 AEDT 2018 org.apache.commons.math.MathException,86
Mon Jan 15 21:26:36 AEDT 2018 Mon Jan 15 21:26:36 AEDT 2018 : org.apache.commons.math.MathException,87=>Find no block
Mon Jan 15 21:26:42 AEDT 2018 org.apache.commons.math.MathException,168
Mon Jan 15 21:27:07 AEDT 2018 org.apache.commons.math.MathException,169
Mon Jan 15 21:27:09 AEDT 2018 org.apache.commons.math.MathException,177
Mon Jan 15 21:27:12 AEDT 2018 org.apache.commons.math.MathException,183
Mon Jan 15 21:27:19 AEDT 2018 org.apache.commons.math.ConvergenceException,62
Mon Jan 15 21:27:53 AEDT 2018 Mon Jan 15 21:27:53 AEDT 2018 : org.apache.commons.math.ConvergenceException,63=>Find no block
Mon Jan 15 21:27:59 AEDT 2018 Mon Jan 15 21:27:59 AEDT 2018 : org.apache.commons.math.util.FastMath,653=>Find no block
Mon Jan 15 21:28:05 AEDT 2018 Mon Jan 15 21:28:05 AEDT 2018 : org.apache.commons.math.util.FastMath,654=>Find no block
Mon Jan 15 21:28:11 AEDT 2018 Mon Jan 15 21:28:11 AEDT 2018 : org.apache.commons.math.util.FastMath,658=>Find no block
Mon Jan 15 21:28:18 AEDT 2018 Mon Jan 15 21:28:18 AEDT 2018 : org.apache.commons.math.util.ContinuedFraction,163=>Find no block
Mon Jan 15 21:28:23 AEDT 2018 Mon Jan 15 21:28:23 AEDT 2018 : org.apache.commons.math.util.ContinuedFraction,164=>Find no block
Mon Jan 15 21:28:27 AEDT 2018 Mon Jan 15 21:28:27 AEDT 2018 : org.apache.commons.math.util.ContinuedFraction,186=>Find no block
Mon Jan 15 21:28:28 AEDT 2018 Mon Jan 15 21:28:28 AEDT 2018 : org.apache.commons.math.util.ContinuedFraction,149=>Find no block
Mon Jan 15 21:28:29 AEDT 2018 Mon Jan 15 21:28:29 AEDT 2018 : org.apache.commons.math.util.ContinuedFraction,150=>Find no block
Mon Jan 15 21:28:29 AEDT 2018 Mon Jan 15 21:28:29 AEDT 2018 : org.apache.commons.math.util.ContinuedFraction,151=>Find no block
Mon Jan 15 21:28:30 AEDT 2018 Mon Jan 15 21:28:30 AEDT 2018 : org.apache.commons.math.util.ContinuedFraction,152=>Find no block
Mon Jan 15 21:28:31 AEDT 2018 Mon Jan 15 21:28:31 AEDT 2018 : org.apache.commons.math.util.ContinuedFraction,153=>Find no block
Mon Jan 15 21:28:32 AEDT 2018 Mon Jan 15 21:28:32 AEDT 2018 : org.apache.commons.math.util.ContinuedFraction,158=>Find no block
Mon Jan 15 21:28:33 AEDT 2018 Mon Jan 15 21:28:33 AEDT 2018 : org.apache.commons.math.util.ContinuedFraction,159=>Find no block
Mon Jan 15 21:28:34 AEDT 2018 Mon Jan 15 21:28:34 AEDT 2018 : org.apache.commons.math.util.ContinuedFraction,160=>Find no block
Mon Jan 15 21:28:35 AEDT 2018 Mon Jan 15 21:28:35 AEDT 2018 : org.apache.commons.math.util.ContinuedFraction,161=>Find no block
Mon Jan 15 21:28:36 AEDT 2018 Mon Jan 15 21:28:36 AEDT 2018 : org.apache.commons.math.util.ContinuedFraction,162=>Find no block
