=================================================
Project : math_105	start : 17/08/24 15:43
Current failed test : org.apache.commons.math.stat.regression.SimpleRegressionTest::testSSENonNegative | 17/08/24 15:43
Thu Aug 24 15:56:50 AEST 2017 org.apache.commons.math.stat.regression.SimpleRegression,89
Thu Aug 24 15:56:50 AEST 2017 Thu Aug 24 15:56:50 AEST 2017 : org.apache.commons.math.stat.regression.SimpleRegression,60=>Find no block
Thu Aug 24 15:56:51 AEST 2017 Thu Aug 24 15:56:51 AEST 2017 : org.apache.commons.math.stat.regression.SimpleRegression,63=>Find no block
Thu Aug 24 15:56:51 AEST 2017 Thu Aug 24 15:56:51 AEST 2017 : org.apache.commons.math.stat.regression.SimpleRegression,66=>Find no block
Thu Aug 24 15:56:51 AEST 2017 Thu Aug 24 15:56:51 AEST 2017 : org.apache.commons.math.stat.regression.SimpleRegression,69=>Find no block
Thu Aug 24 15:56:51 AEST 2017 Thu Aug 24 15:56:51 AEST 2017 : org.apache.commons.math.stat.regression.SimpleRegression,72=>Find no block
Thu Aug 24 15:56:51 AEST 2017 Thu Aug 24 15:56:51 AEST 2017 : org.apache.commons.math.stat.regression.SimpleRegression,75=>Find no block
Thu Aug 24 15:56:52 AEST 2017 Thu Aug 24 15:56:52 AEST 2017 : org.apache.commons.math.stat.regression.SimpleRegression,78=>Find no block
Thu Aug 24 15:56:52 AEST 2017 Thu Aug 24 15:56:52 AEST 2017 : org.apache.commons.math.stat.regression.SimpleRegression,81=>Find no block
Thu Aug 24 15:56:52 AEST 2017 Thu Aug 24 15:56:52 AEST 2017 : org.apache.commons.math.stat.regression.SimpleRegression,90=>Find no block
Thu Aug 24 15:56:52 AEST 2017 org.apache.commons.math.stat.regression.SimpleRegression,106
Thu Aug 24 17:19:24 AEST 2017 org.apache.commons.math.stat.regression.SimpleRegression,107
Thu Aug 24 17:19:24 AEST 2017 org.apache.commons.math.stat.regression.SimpleRegression,108
Thu Aug 24 17:19:25 AEST 2017 org.apache.commons.math.stat.regression.SimpleRegression,110
Timeout time : 17/08/24 20:56
