=================================================
Project : math_60	start : 17/08/24 10:19
Current failed test : org.apache.commons.math.distribution.NormalDistributionTest::testExtremeValues | 17/08/24 10:19
Thu Aug 24 10:19:42 AEST 2017 Thu Aug 24 10:19:42 AEST 2017 : org.apache.commons.math.MathException,84=>Find no block
Thu Aug 24 10:19:43 AEST 2017 org.apache.commons.math.MathException,85
Thu Aug 24 10:19:55 AEST 2017 org.apache.commons.math.MathException,86
Thu Aug 24 10:19:56 AEST 2017 Thu Aug 24 10:19:56 AEST 2017 : org.apache.commons.math.MathException,87=>Find no block
Thu Aug 24 10:19:57 AEST 2017 org.apache.commons.math.MathException,168
Thu Aug 24 10:20:06 AEST 2017 org.apache.commons.math.MathException,169
Thu Aug 24 10:20:07 AEST 2017 org.apache.commons.math.MathException,177
Thu Aug 24 10:20:11 AEST 2017 org.apache.commons.math.MathException,183
Thu Aug 24 10:20:14 AEST 2017 org.apache.commons.math.ConvergenceException,62
Thu Aug 24 10:20:34 AEST 2017 Thu Aug 24 10:20:34 AEST 2017 : org.apache.commons.math.ConvergenceException,63=>Find no block
Thu Aug 24 10:20:35 AEST 2017 Thu Aug 24 10:20:35 AEST 2017 : org.apache.commons.math.util.FastMath,653=>Find no block
Thu Aug 24 10:20:36 AEST 2017 Thu Aug 24 10:20:36 AEST 2017 : org.apache.commons.math.util.FastMath,654=>Find no block
Thu Aug 24 10:20:37 AEST 2017 Thu Aug 24 10:20:37 AEST 2017 : org.apache.commons.math.util.FastMath,658=>Find no block
Thu Aug 24 10:20:38 AEST 2017 Thu Aug 24 10:20:38 AEST 2017 : org.apache.commons.math.util.ContinuedFraction,163=>Find no block
Thu Aug 24 10:20:39 AEST 2017 Thu Aug 24 10:20:39 AEST 2017 : org.apache.commons.math.util.ContinuedFraction,164=>Find no block
Thu Aug 24 10:20:39 AEST 2017 Thu Aug 24 10:20:39 AEST 2017 : org.apache.commons.math.util.ContinuedFraction,186=>Find no block
Thu Aug 24 10:20:40 AEST 2017 Thu Aug 24 10:20:40 AEST 2017 : org.apache.commons.math.util.ContinuedFraction,149=>Find no block
Thu Aug 24 10:20:41 AEST 2017 Thu Aug 24 10:20:41 AEST 2017 : org.apache.commons.math.util.ContinuedFraction,150=>Find no block
