=================================================
Project : math_36	start : 17/08/24 06:43
Current failed test : org.apache.commons.math.fraction.BigFractionTest::testFloatValueForLargeNumeratorAndDenominator | 17/08/24 06:44
Thu Aug 24 06:45:34 AEST 2017 org.apache.commons.math.fraction.BigFraction,732
Thu Aug 24 06:45:54 AEST 2017 org.apache.commons.math.fraction.BigFraction,735
Thu Aug 24 06:45:57 AEST 2017 Thu Aug 24 06:45:57 AEST 2017 : org.apache.commons.math.exception.util.LocalizedFormats,370=>Find no block
Thu Aug 24 06:45:58 AEST 2017 org.apache.commons.math.exception.util.LocalizedFormats,371
Thu Aug 24 06:46:03 AEST 2017 Thu Aug 24 06:46:03 AEST 2017 : org.apache.commons.math.exception.util.LocalizedFormats,372=>Find no block
Thu Aug 24 06:46:04 AEST 2017 org.apache.commons.math.fraction.BigFraction,366
Thu Aug 24 06:46:16 AEST 2017 Thu Aug 24 06:46:16 AEST 2017 : org.apache.commons.math.fraction.BigFraction,367=>Find no block
Thu Aug 24 06:46:18 AEST 2017 org.apache.commons.math.fraction.BigFraction,133
Thu Aug 24 06:46:28 AEST 2017 org.apache.commons.math.fraction.BigFraction,134
Thu Aug 24 06:46:29 AEST 2017 org.apache.commons.math.fraction.BigFraction,126
Thu Aug 24 06:46:36 AEST 2017 org.apache.commons.math.fraction.BigFraction,127
Thu Aug 24 06:46:38 AEST 2017 org.apache.commons.math.fraction.BigFraction,381
Thu Aug 24 06:46:43 AEST 2017 Thu Aug 24 06:46:43 AEST 2017 : org.apache.commons.math.fraction.BigFraction,382=>Find no block
Thu Aug 24 06:46:44 AEST 2017 org.apache.commons.math.fraction.BigFraction,131
Thu Aug 24 06:48:10 AEST 2017 org.apache.commons.math.fraction.BigFraction,132
Thu Aug 24 06:48:11 AEST 2017 org.apache.commons.math.fraction.BigFraction,138
Thu Aug 24 06:48:35 AEST 2017 org.apache.commons.math.fraction.BigFraction,144
Thu Aug 24 06:49:37 AEST 2017 org.apache.commons.math.fraction.BigFraction,145
Thu Aug 24 06:49:38 AEST 2017 org.apache.commons.math.util.MathUtils,244
Thu Aug 24 06:49:43 AEST 2017 Thu Aug 24 06:49:43 AEST 2017 : org.apache.commons.math.util.MathUtils,247=>Find no block
Thu Aug 24 06:49:45 AEST 2017 Thu Aug 24 06:49:45 AEST 2017 : org.apache.commons.math.fraction.BigFraction,119=>Find no block
Thu Aug 24 06:49:46 AEST 2017 org.apache.commons.math.fraction.BigFraction,120
Thu Aug 24 06:52:30 AEST 2017 org.apache.commons.math.fraction.BigFraction,121
Thu Aug 24 06:52:31 AEST 2017 org.apache.commons.math.fraction.BigFraction,122
Thu Aug 24 06:53:57 AEST 2017 org.apache.commons.math.fraction.BigFraction,125
Thu Aug 24 06:56:03 AEST 2017 Thu Aug 24 06:56:03 AEST 2017 : org.apache.commons.math.fraction.BigFraction,148=>Find no block
Thu Aug 24 06:56:04 AEST 2017 Thu Aug 24 06:56:04 AEST 2017 : org.apache.commons.math.exception.MathIllegalStateException,45=>Find no block
Thu Aug 24 06:56:05 AEST 2017 org.apache.commons.math.exception.MathIllegalStateException,46
Thu Aug 24 06:56:11 AEST 2017 org.apache.commons.math.exception.MathIllegalStateException,47
Thu Aug 24 06:56:12 AEST 2017 Thu Aug 24 06:56:12 AEST 2017 : org.apache.commons.math.exception.MathIllegalStateException,48=>Find no block
Thu Aug 24 06:56:13 AEST 2017 org.apache.commons.math.exception.MathIllegalStateException,60
Thu Aug 24 06:56:20 AEST 2017 org.apache.commons.math.exception.MathIllegalStateException,61
Thu Aug 24 06:56:22 AEST 2017 org.apache.commons.math.exception.MathIllegalStateException,62
Thu Aug 24 06:56:23 AEST 2017 Thu Aug 24 06:56:23 AEST 2017 : org.apache.commons.math.exception.MathIllegalStateException,63=>Find no block
Thu Aug 24 06:56:25 AEST 2017 org.apache.commons.math.exception.MathIllegalStateException,69
Thu Aug 24 06:56:29 AEST 2017 Thu Aug 24 06:56:29 AEST 2017 : org.apache.commons.math.exception.MathIllegalStateException,70=>Find no block
Thu Aug 24 06:56:31 AEST 2017 org.apache.commons.math.exception.MathIllegalStateException,74
Thu Aug 24 06:56:36 AEST 2017 org.apache.commons.math.exception.MathIllegalStateException,80
Thu Aug 24 06:56:40 AEST 2017 org.apache.commons.math.exception.MathIllegalStateException,86
Thu Aug 24 06:56:45 AEST 2017 Thu Aug 24 06:56:45 AEST 2017 : org.apache.commons.math.exception.util.LocalizedFormats,39=>Find no block
Thu Aug 24 06:56:48 AEST 2017 Thu Aug 24 06:56:48 AEST 2017 : org.apache.commons.math.exception.util.LocalizedFormats,39=>Find no block
Thu Aug 24 06:56:49 AEST 2017 org.apache.commons.math.exception.util.LocalizedFormats,376
Thu Aug 24 06:56:54 AEST 2017 org.apache.commons.math.exception.util.LocalizedFormats,382
Thu Aug 24 07:01:37 AEST 2017 org.apache.commons.math.exception.util.LocalizedFormats,384
Thu Aug 24 07:01:57 AEST 2017 org.apache.commons.math.exception.util.LocalizedFormats,386
Thu Aug 24 07:01:58 AEST 2017 Thu Aug 24 07:01:58 AEST 2017 : org.apache.commons.math.exception.util.LocalizedFormats,391=>Find no block
Thu Aug 24 07:01:59 AEST 2017 Thu Aug 24 07:01:59 AEST 2017 : org.apache.commons.math.exception.util.LocalizedFormats,389=>Find no block
Thu Aug 24 07:02:01 AEST 2017 org.apache.commons.math.exception.util.LocalizedFormats,395
Thu Aug 24 07:02:04 AEST 2017 org.apache.commons.math.exception.MathIllegalNumberException,46
Thu Aug 24 07:03:10 AEST 2017 org.apache.commons.math.exception.MathIllegalNumberException,47
Thu Aug 24 07:03:11 AEST 2017 Thu Aug 24 07:03:11 AEST 2017 : org.apache.commons.math.exception.MathIllegalNumberException,48=>Find no block
Thu Aug 24 07:03:12 AEST 2017 org.apache.commons.math.exception.MathIllegalNumberException,54
Thu Aug 24 07:03:17 AEST 2017 Thu Aug 24 07:03:17 AEST 2017 : org.apache.commons.math.exception.MathIllegalArgumentException,44=>Find no block
Thu Aug 24 07:03:19 AEST 2017 org.apache.commons.math.exception.MathIllegalArgumentException,45
Thu Aug 24 07:03:20 AEST 2017 org.apache.commons.math.exception.MathIllegalArgumentException,46
